code word doc_freq count
2336 letter 2 4
2393 lopez 2 4
2513 maternal 2 4
2540 medina 2 4
2706 nature 2 4
2809 o 2 4
3142 priest 2 4
3159 probably 2 4
3168 production 2 4
3201 provision 2 4
3220 put 2 4
3238 question 2 4
3329 regional 2 4
3430 robert 2 4
3459 round 2 4
3687 size 2 4
3920 supply 2 4
4003 term 2 4
4005 territorial 2 4
4108 transfer 2 4
4351 whether 2 4
4361 wide 2 4
4376 wind 2 4
2 aaron 2 3
74 advantage 2 3
82 affair 2 3
142 align 2 3
167 alternative 2 3
202 anglican 2 3
207 anniversary 2 3
209 annual 2 3
240 arabia 2 3
241 arabs 2 3
270 art 2 3
279 ask 2 3
320 australian 2 3
334 awliya 2 3
337 babba 2 3
396 bay 2 3
422 bell 2 3
640 catch 2 3
665 chairman 2 3
678 charge 2 3
804 committee 2 3
815 compare 2 3
911 corporate 2 3
912 corps 2 3
1076 design 2 3
1091 diameter 2 3
1140 dispute 2 3
1147 distribution 2 3
1176 down 2 3
1179 dr 2 3
1224 easy 2 3
1236 editor 2 3
1264 electricity 2 3
1286 empire 2 3
1293 encourage 2 3
1304 engineer 2 3
1315 ensure 2 3
1322 environmental 2 3
1345 establishment 2 3
1417 facility 2 3
1418 fact 2 3
1461 fellow 2 3
1475 field 2 3
1515 flag 2 3
1564 founder 2 3
1609 g 2 3
1667 ghali 2 3
1797 hassan 2 3
1806 health 2 3
1849 historical 2 3
1954 important 2 3
1992 infantry 2 3
2009 innovation 2 3
2027 intelligence 2 3
2033 inter 2 3
2111 j 2 3
2137 jerzy 2 3
2170 justice 2 3
2207 kill 2 3
2256 l 2 3
2448 malam 2 3
2479 mar 2 3
2523 mayor 2 3
2538 medicine 2 3
2572 michigan 2 3
2606 mitchell 2 3
2659 movement 2 3
2685 music 2 3
2721 nee 2 3
2777 northeast 2 3
2789 notice 2 3
2814 observe 2 3
2886 originate 2 3
2895 otherwise 2 3
2899 our 2 3
2907 outside 2 3
2955 parish 2 3
2965 particularly 2 3
2978 paternal 2 3
3009 perez 2 3
3039 physics 2 3
3234 quality 2 3
3423 rio 2 3
3527 saudi 2 3
3528 save 2 3
3547 score 2 3
3561 secretariat 2 3
3566 secure 2 3
3589 separate 2 3
3607 seventh 2 3
3623 sharif 2 3
3655 signal 2 3
3656 significance 2 3
3712 soap 2 3
3722 soldier 2 3
3791 spy 2 3
3797 st 2 3
3827 steering 2 3
3830 stephen 2 3
3850 stretch 2 3
3860 student 2 3
3894 suit 2 3
3903 sunday 2 3
3923 surface 2 3
3943 sydney 2 3
3980 technical 2 3
4035 think 2 3
4104 training 2 3
4138 try 2 3
4152 twenty 2 3
4163 uk 2 3
4264 vice 2 3
4307 walter 2 3
4356 whole 2 3
4382 wire 2 3
4388 wladyslaw 2 3
4416 yet 2 3
22 academia 2 2
27 access 2 2
31 accompany 2 2
34 accordingly 2 2
44 acting 2 2
69 adopt 2 2
77 advise 2 2
84 affect 2 2
101 agnatic 2 2
108 agricultural 2 2
109 agriculture 2 2
130 alaouite 2 2
135 albert 2 2
151 alleviate 2 2
164 alongside 2 2
165 already 2 2
182 amongst 2 2
190 ancestor 2 2
219 anxiety 2 2
225 apparent 2 2
234 approach 2 2
236 approximately 2 2
246 archive 2 2
264 arrangement 2 2
282 aspire 2 2
291 assimilation 2 2
310 attract 2 2
330 avoid 2 2
333 away 2 2
347 bad 2 2
352 bakatsine 2 2
359 ban 2 2
369 bank 2 2
410 beginning 2 2
429 benedict 2 2
491 boom 2 2
506 boy 2 2
517 bridge 2 2
519 brigade 2 2
540 bryophyte 2 2
552 building 2 2
557 bureaucrat 2 2
561 burn 2 2
564 bury 2 2
572 buy 2 2
634 cast 2 2
647 caution 2 2
663 chad 2 2
727 cite 2 2
728 citizen 2 2
735 clare 2 2
738 clash 2 2
747 closely 2 2
757 coast 2 2
769 collaborate 2 2
780 colloquially 2 2
782 colonial 2 2
797 comment 2 2
799 commentator 2 2
802 commit 2 2
818 compete 2 2
822 compilation 2 2
845 condition 2 2
860 consequence 2 2
866 consideration 2 2
879 content 2 2
882 context 2 2
883 continental 2 2
886 contractor 2 2
920 count 2 2
925 coup 2 2
934 crack 2 2
940 creation 2 2
949 criterion 2 2
950 critic 2 2
952 criticise 2 2
955 croatia 2 2
996 darlington 2 2
1012 dean 2 2
1017 decade 2 2
1026 decree 2 2
1028 deeply 2 2
1033 defend 2 2
1038 define 2 2
1057 depend 2 2
1075 desert 2 2
1082 destroy 2 2
1109 diplomat 2 2
1129 discovery 2 2
1130 discuss 2 2
1160 doctrine 2 2
1161 document 2 2
1171 donor 2 2
